repo_id,capability_id,relation,confidence
claude-workflow-demo,ai-ml,provides,name+description
claude-workflow-demo,automation-orchestration,provides,name+description
clients,crm-sales,provides,name+description
comm-004-community-outreach-nonprofit,crm-sales,provides,name+description
comm-005-ace-food-security-ai,ai-ml,provides,name+description
comm-005-ace-food-security-ai,security-compliance,provides,name+description
comm-006-community-technology-access-ai,ai-ml,provides,name+description
comm-007-youth-leadership-ai,ai-ml,provides,name+description
comm-008-community-fundraising-ai,ai-ml,provides,name+description
comm-009-volunteer-hub-ai,ai-ml,provides,name+description
comm-010-disaster-relief-ai,ai-ml,provides,name+description
comm-012-black-art-museum-ai,ai-ml,provides,name+description
comm-014-veterans-support-ai,ai-ml,provides,name+description
comm-016-community-health-ai,ai-ml,provides,name+description
comm-016-community-health-ai,healthcare,provides,name+description
comm-018-neighborhood-watch-ai,ai-ml,provides,name+description
comm-019-community-garden-ai,ai-ml,provides,name+description
comm-020-public-transportation-ai,ai-ml,provides,name+description
comm-021-housing-assistance-ai,ai-ml,provides,name+description
comm-023-elder-companion-ai,ai-ml,provides,name+description
comm-024-youth-sports-ai,ai-ml,provides,name+description
comm-025-community-legal-aid,legal-compliance,provides,name+description
comm-026-public-education-ai,ai-ml,provides,name+description
comm-026-public-education-ai,education-learning,provides,name+description
comm-027-local-government-ai,ai-ml,provides,name+description
comm-028-public-safety-ai,ai-ml,provides,name+description
comm-029-community-wellness-ai,ai-ml,provides,name+description
comm-030-cultural-exchange-ai,ai-ml,provides,name+description
comm-031-community-investment-ai,ai-ml,provides,name+description
comm-032-public-health-ai,ai-ml,provides,name+description
comm-032-public-health-ai,healthcare,provides,name+description
comm-035-community-arts-ai,ai-ml,provides,name+description
comm-036-public-infrastructure-ai,ai-ml,provides,name+description
comm-036-public-infrastructure-ai,devops-infra,provides,name+description
comm-037-neighborhood-development-ai,ai-ml,provides,name+description
comm-038-community-policing-ai,ai-ml,provides,name+description
comm-039-public-space-ai,ai-ml,provides,name+description
comm-040-community-recycling-ai,ai-ml,provides,name+description
comm-041-public-wi-fi-ai,ai-ml,provides,name+description
comm-042-community-energy-ai,ai-ml,provides,name+description
comm-043-local-food-network-ai,ai-ml,provides,name+description
comm-044-community-volunteering-ai,ai-ml,provides,name+description
comm-045-public-childcare-ai,ai-ml,provides,name+description
comm-046-community-pet-care-ai,ai-ml,provides,name+description
comm-047-public-fitness-ai,ai-ml,provides,name+description
comm-048-community-transportation-ai,ai-ml,provides,name+description
comm-049-public-event-ai,ai-ml,provides,name+description
comm-050-community-cultural-ai,ai-ml,provides,name+description
consciousness-deployment-system,agent-systems,provides,name+description
consciousness-deployment-system,devops-infra,provides,name+description
consciousness-deployment-system,venture-governance,provides,name+description
consult-001-venture-consulting,marketing-growth,provides,name+description
consulting-services-automation,automation-orchestration,provides,name+description
consulting-services-automation,venture-governance,provides,name+description
deliv-713-roadrunner-cannabis,data-analytics,provides,name+description
deliv-713-roadrunner-cannabis,backend-service,provides,name+description
deliv-713-roadrunner-cannabis,e-commerce,provides,name+description
deployment-orchestrator,automation-orchestration,provides,name+description
deployment-orchestrator,devops-infra,provides,name+description
divine-johns-portfolio,frontend-ui,provides,name+description
divine-johns-portfolio,finance-fintech,provides,name+description
divine-johns-portfolio,venture-governance,provides,name+description
ec-005-nwa-products,e-commerce,provides,name+description
ec-005-sunglasses-ai,ai-ml,provides,name+description
ec-007-personal-shopper-ai,ai-ml,provides,name+description
ec-008-custom-sneaker-ai,ai-ml,provides,name+description
ec-009-sustainable-fashion-ai,ai-ml,provides,name+description
ec-010-jewelry-designer-ai,ai-ml,provides,name+description
ec-011-virtual-try-on-ai,ai-ml,provides,name+description
ec-012-fashion-designer-ai,ai-ml,provides,name+description
ec-014-subscription-box-ai,ai-ml,provides,name+description
ec-014-subscription-box-ai,payments-billing,provides,name+description
ec-015-surf-gear-ai,ai-ml,provides,name+description
ec-016-ski-gear-ai,ai-ml,provides,name+description
ec-017-golf-gear-ai,ai-ml,provides,name+description
ec-018-fishing-gear-ai,ai-ml,provides,name+description
ec-019-yoga-gear-ai,ai-ml,provides,name+description
ec-020-costume-shop-ai,ai-ml,provides,name+description
ec-020-costume-shop-ai,e-commerce,provides,name+description
ec-021-luggage-ai,ai-ml,provides,name+description
ec-022-home-appliance-ai,ai-ml,provides,name+description
ec-023-tool-shop-ai,ai-ml,provides,name+description
ec-023-tool-shop-ai,e-commerce,provides,name+description
ec-024-garden-supply-ai,ai-ml,provides,name+description
ec-025-collectible-ai,ai-ml,provides,name+description
ec-026-hobby-shop-ai,ai-ml,provides,name+description
ec-026-hobby-shop-ai,e-commerce,provides,name+description
ec-028-nft-fashion-licensing,blockchain-web3,provides,name+description
ec-029-instant-brand-generator,developer-tools,provides,name+description
ec-030-ai-product-photographer,ai-ml,provides,name+description
ec-033-ad-optimizer-ai,ai-ml,provides,name+description
ec-035-review-aggregator-ai,ai-ml,provides,name+description
ec-036-fulfillment-network-ai,ai-ml,provides,name+description
ec-037-return-optimization-ai,ai-ml,provides,name+description
ec-039-visual-search-ai,ai-ml,provides,name+description
ec-039-visual-search-ai,search-retrieval,provides,name+description
ec-040-abandoned-cart-recovery,e-commerce,provides,name+description
ec-043-ugc-content-aggregator,cms-content,provides,name+description
ec-048-wholesale-marketplace-ai,ai-ml,provides,name+description
ec-048-wholesale-marketplace-ai,e-commerce,provides,name+description
ec-049-rental-marketplace,e-commerce,provides,name+description
ec-050-ai-product-descriptions,ai-ml,provides,name+description
ec-051-ai-email-marketing,ai-ml,provides,name+description
ec-051-ai-email-marketing,messaging-communication,provides,name+description
ec-051-ai-email-marketing,marketing-growth,provides,name+description
ec-052-ai-product-bundler,ai-ml,provides,name+description
ec-053-ai-visual-merchandiser,ai-ml,provides,name+description
ec-054-ai-demand-forecasting,ai-ml,provides,name+description
ec-055-ai-warehouse-management,ai-ml,provides,name+description
ec-056-ai-supplier-matching,ai-ml,provides,name+description
ec-057-ai-quality-control,ai-ml,provides,name+description
ec-058-ai-packaging-designer,ai-ml,provides,name+description
ec-059-ai-logistics-planner,ai-ml,provides,name+description
ec-060-ai-customer-loyalty,ai-ml,provides,name+description
ec-061-ai-gift-finder,ai-ml,provides,name+description
ec-062-ai-trend-hunter,ai-ml,provides,name+description
ec-063-ai-market-research,ai-ml,provides,name+description
ec-064-ai-competitor-watcher,ai-ml,provides,name+description
ec-065-ai-product-development,ai-ml,provides,name+description
ec-066-ai-customer-journey,ai-ml,provides,name+description
ec-067-ai-payment-optimization,ai-ml,provides,name+description
ec-067-ai-payment-optimization,payments-billing,provides,name+description
ec-068-ai-returns-management,ai-ml,provides,name+description
ec-069-ai-shipping-labeler,ai-ml,provides,name+description
ec-070-ai-product-launch-coach,ai-ml,provides,name+description
ec-071-ai-vendor-negotiator,ai-ml,provides,name+description
ec-072-ai-product-cataloger,ai-ml,provides,name+description
ec-073-ai-order-prioritizer,ai-ml,provides,name+description
ec-074-ai-customer-segmentation,ai-ml,provides,name+description
ec-075-ai-pricing-analyst,ai-ml,provides,name+description
ec-076-ai-sales-forecasting,ai-ml,provides,name+description
ec-076-ai-sales-forecasting,crm-sales,provides,name+description
ec-077-ai-inventory-reordering,ai-ml,provides,name+description
ec-078-ai-product-comparison,ai-ml,provides,name+description
ec-079-ai-customer-feedback,ai-ml,provides,name+description
ec-080-ai-product-updates,ai-ml,provides,name+description
ec-081-ai-cross-selling,ai-ml,provides,name+description
ec-082-ai-up-selling,ai-ml,provides,name+description
ec-083-ai-product-education,ai-ml,provides,name+description
ec-083-ai-product-education,education-learning,provides,name+description
ec-084-ai-purchase-timing,ai-ml,provides,name+description
ec-085-ai-customer-support,ai-ml,provides,name+description
ec-086-ai-order-tracking,ai-ml,provides,name+description
ec-087-ai-product-reviews,ai-ml,provides,name+description
ec-088-ai-customer-community,ai-ml,provides,name+description
ec-089-ai-product-customization,ai-ml,provides,name+description
ec-090-ai-gift-registry,ai-ml,provides,name+description
ec-090-ai-gift-registry,venture-governance,provides,name+description
ec-091-ai-wedding-registry,ai-ml,provides,name+description
ec-091-ai-wedding-registry,venture-governance,provides,name+description
ec-092-ai-baby-registry,ai-ml,provides,name+description
ec-092-ai-baby-registry,venture-governance,provides,name+description
ec-093-ai-holiday-planner,ai-ml,provides,name+description
ec-094-ai-personal-shopper,ai-ml,provides,name+description
ec-095-ai-color-match,ai-ml,provides,name+description
ec-096-ai-fabric-advisor,ai-ml,provides,name+description
ec-097-ai-fit-recommendation,ai-ml,provides,name+description
ec-098-ai-outfit-builder,ai-ml,provides,name+description
ec-099-ai-seasonal-forecast,ai-ml,provides,name+description
ec-100-ai-wardrobe-planner,ai-ml,provides,name+description
ec-101-ai-accessory-match,ai-ml,provides,name+description
ec-102-ai-shoe-match,ai-ml,provides,name+description
ec-103-ai-jewelry-match,ai-ml,provides,name+description
ec-104-ai-bag-match,ai-ml,provides,name+description
ec-105-ai-color-palette,ai-ml,provides,name+description
ec-106-ai-outfit-recycling,ai-ml,provides,name+description
ec-107-ai-style-evolution,ai-ml,provides,name+description
ec-108-ai-budget-stylist,ai-ml,provides,name+description
ec-109-ai-trend-archive,ai-ml,provides,name+description
ec-110-ai-vintage-advisor,ai-ml,provides,name+description
ec-111-miss-toys,backend-service,provides,name+description
ec-112-cosmic-kitty,backend-service,provides,name+description
edu-002-ai-literacy-program,ai-ml,provides,name+description
edu-006-homeschooling-content-ai,ai-ml,provides,name+description
edu-006-homeschooling-content-ai,cms-content,provides,name+description
edu-007-ai-tutoring-platform,ai-ml,provides,name+description
edu-008-branding-templates-marketplace,e-commerce,provides,name+description
edu-013-automated-empire-book,venture-governance,provides,name+description
edu-015-ai-legal-doc-generator,ai-ml,provides,name+description
edu-015-ai-legal-doc-generator,legal-compliance,provides,name+description
edu-015-ai-legal-doc-generator,developer-tools,provides,name+description
edu-017-ai-coding-tutor,ai-ml,provides,name+description
edu-017-ai-coding-tutor,education-learning,provides,name+description
edu-018-online-course-creator,education-learning,provides,name+description
edu-019-executive-education-program,education-learning,provides,name+description
edu-022-ai-research-assistant,ai-ml,provides,name+description
edu-023-personal-finance-coach,finance-fintech,provides,name+description
edu-024-language-learning-ai,ai-ml,provides,name+description
edu-024-language-learning-ai,education-learning,provides,name+description
edu-025-test-preparation-ai,ai-ml,provides,name+description
edu-026-corporate-training-ai,ai-ml,provides,name+description
edu-027-medical-education-ai,ai-ml,provides,name+description
edu-027-medical-education-ai,education-learning,provides,name+description
edu-027-medical-education-ai,healthcare,provides,name+description
edu-028-legal-education-ai,ai-ml,provides,name+description
edu-028-legal-education-ai,education-learning,provides,name+description
edu-028-legal-education-ai,legal-compliance,provides,name+description
edu-029-music-education-ai,ai-ml,provides,name+description
edu-029-music-education-ai,education-learning,provides,name+description
edu-030-art-education-ai,ai-ml,provides,name+description
edu-030-art-education-ai,education-learning,provides,name+description
edu-031-physical-education-ai,ai-ml,provides,name+description
edu-031-physical-education-ai,education-learning,provides,name+description
edu-032-environmental-education-ai,ai-ml,provides,name+description
edu-032-environmental-education-ai,education-learning,provides,name+description
edu-033-social-studies-ai,ai-ml,provides,name+description
edu-034-math-education-ai,ai-ml,provides,name+description
edu-034-math-education-ai,education-learning,provides,name+description
edu-035-science-education-ai,ai-ml,provides,name+description
edu-035-science-education-ai,education-learning,provides,name+description
edu-036-reading-comprehension-ai,ai-ml,provides,name+description
edu-037-writing-instruction-ai,ai-ml,provides,name+description
edu-038-critical-thinking-ai,ai-ml,provides,name+description
edu-039-emotional-intelligence-ai,ai-ml,provides,name+description
edu-040-time-management-ai,ai-ml,provides,name+description
education-platform-system,education-learning,provides,name+description
education-platform-system,venture-governance,provides,name+description
em-001-space-habitat-ai,ai-ml,provides,name+description
em-002-fusion-energy-ai,ai-ml,provides,name+description
em-003-teleportation-research-ai,ai-ml,provides,name+description
em-004-climate-solutions-ai,ai-ml,provides,name+description
em-005-holographic-events-ai,ai-ml,provides,name+description
em-006-neurofeedback-ai,ai-ml,provides,name+description
em-007-autonomous-delivery-ai,ai-ml,provides,name+description
em-007-autonomous-delivery-ai,agent-systems,provides,name+description
em-008-gene-editing-ai,ai-ml,provides,name+description
em-009-space-tourism-ai,ai-ml,provides,name+description
em-010-wearables-ai,ai-ml,provides,name+description
em-011-metaverse-hub-ai,ai-ml,provides,name+description
em-012-energy-grid-ai,ai-ml,provides,name+description
em-014-ocean-cleanup-ai,ai-ml,provides,name+description
em-015-crypto-trading-ai,ai-ml,provides,name+description
em-015-crypto-trading-ai,blockchain-web3,provides,name+description
em-015-crypto-trading-ai,finance-fintech,provides,name+description
em-016-synthetic-media-ai,ai-ml,provides,name+description
em-016-synthetic-media-ai,video-media,provides,name+description
em-017-space-mining-ai,ai-ml,provides,name+description
em-018-vr-therapy-ai,ai-ml,provides,name+description
em-019-weather-prediction-ai,ai-ml,provides,name+description
em-020-autonomous-farming-ai,ai-ml,provides,name+description
em-020-autonomous-farming-ai,agent-systems,provides,name+description
em-021-traffic-optimizer-ai,ai-ml,provides,name+description
em-022-smart-grid-ai,ai-ml,provides,name+description
em-023-disaster-prediction-ai,ai-ml,provides,name+description
em-024-nanotech-ai,ai-ml,provides,name+description
em-025-personalized-medicine-ai,ai-ml,provides,name+description
em-026-ai-diagnostic-lab,ai-ml,provides,name+description
em-027-sustainable-cities-ai,ai-ml,provides,name+description
em-028-renewable-energy-ai,ai-ml,provides,name+description
em-029-climate-modeling-ai,ai-ml,provides,name+description
em-030-policy-advisor-ai,ai-ml,provides,name+description
em-031-governance-hub-ai,ai-ml,provides,name+description
em-031-governance-hub-ai,venture-governance,provides,name+description
em-032-global-challenges-ai,ai-ml,provides,name+description
em-033-space-exploration-ai,ai-ml,provides,name+description
em-034-education-equity-ai,ai-ml,provides,name+description
em-034-education-equity-ai,education-learning,provides,name+description
em-035-health-equity-ai,ai-ml,provides,name+description
em-035-health-equity-ai,healthcare,provides,name+description
em-036-economic-equity-ai,ai-ml,provides,name+description
em-037-environmental-justice-ai,ai-ml,provides,name+description
em-038-human-rights-ai,ai-ml,provides,name+description
em-039-peacebuilding-ai,ai-ml,provides,name+description
em-040-telemedicine-ai,ai-ml,provides,name+description
em-041-ai-climate-adaptation,ai-ml,provides,name+description
em-042-space-agriculture-ai,ai-ml,provides,name+description
em-043-quantum-communication-ai,ai-ml,provides,name+description
em-044-robotics-surgery-ai,ai-ml,provides,name+description
em-045-ai-disaster-response,ai-ml,provides,name+description
em-046-smart-city-governance,venture-governance,provides,name+description
em-047-ai-environmental-monitoring,ai-ml,provides,name+description
em-048-space-manufacturing-ai,ai-ml,provides,name+description
em-049-ai-ocean-exploration,ai-ml,provides,name+description
em-050-ai-archaeology,ai-ml,provides,name+description
email-design-os,messaging-communication,provides,name+language
enhanced-cursor-rules,ai-ml,provides,name+description
enhanced-cursor-rules,automation-orchestration,provides,name+description
enhanced-cursor-rules,security-compliance,provides,name+description
et-002-language-learning-app,education-learning,provides,name+description
et-003-content,cms-content,provides,name+description
et-003-content,education-learning,provides,name+description
et-003-platform,frontend-ui,provides,name+description
et-003-platform,backend-service,provides,name+description
et-003-platform,education-learning,provides,name+description
et-009-resume-writing-service,hr-recruiting,provides,name+description
et-012-educational-content-library,cms-content,provides,name+description
et-014-gamified-learning-app,education-learning,provides,name+description
family-office-os,venture-governance,provides,name+description
fh-015-ai-nutrition-planner,ai-ml,provides,name+description
fh-017-cooking-content-brand,cms-content,provides,name+description
fh-019-cooking-course-platform,education-learning,provides,name+description
fh-022-specialty-coffee-shop,e-commerce,provides,name+description
fh-023-bakery---pastry-shop,e-commerce,provides,name+description
fh-025-ice-cream-shop,e-commerce,provides,name+description
fin-002-credit-repair-automation,automation-orchestration,provides,name+description
fin-003-ai-boss-hub-lite,ai-ml,provides,name+description
fin-004-genixbanks-ai-treasurer,ai-ml,provides,name+description
fin-006-tax-prep-filing-services,finance-fintech,provides,name+description
fin-009-crypto-tax-optimizer,blockchain-web3,provides,name+description
fin-009-crypto-tax-optimizer,finance-fintech,provides,name+description
fin-010-ai-powered-garbage-collection,ai-ml,provides,name+description
fin-012-invoice-factoring-ai,ai-ml,provides,name+description
fin-012-invoice-factoring-ai,payments-billing,provides,name+description
fin-013-charity-donation-ai,ai-ml,provides,name+description
fin-014-expense-tracker-ai,ai-ml,provides,name+description
fin-016-trade-finance-ai,ai-ml,provides,name+description
fin-016-trade-finance-ai,finance-fintech,provides,name+description
fin-017-remittance-ai,ai-ml,provides,name+description
fin-018-wealth-transfer-ai,ai-ml,provides,name+description
fin-019-payment-gateway-ai,ai-ml,provides,name+description
fin-019-payment-gateway-ai,payments-billing,provides,name+description
fin-020-debt-consolidation-ai,ai-ml,provides,name+description
fin-021-tax-deduction-finder,finance-fintech,provides,name+description
fin-022-budget-forecasting-ai,ai-ml,provides,name+description
fin-023-investment-portfolio-ai,ai-ml,provides,name+description
fin-023-investment-portfolio-ai,finance-fintech,provides,name+description
fin-023-investment-portfolio-ai,venture-governance,provides,name+description
fin-024-crowdfunding-ai,ai-ml,provides,name+description
fin-025-escrow-automation,automation-orchestration,provides,name+description
fin-026-financial-compliance-scanner,security-compliance,provides,name+description
fin-027-patent-writer-ai,ai-ml,provides,name+description
fin-028-legal-analyzer-ai,ai-ml,provides,name+description
fin-028-legal-analyzer-ai,legal-compliance,provides,name+description
fin-029-compliance-wallet-saas,security-compliance,provides,name+description
fin-030-local-seo-ranker-ai,ai-ml,provides,name+description
fin-030-local-seo-ranker-ai,marketing-growth,provides,name+description
fin-031-investor-dashboard-builder,data-analytics,provides,name+description
fin-032-legal-toolkit-ai,ai-ml,provides,name+description
fin-032-legal-toolkit-ai,legal-compliance,provides,name+description
fin-032-legal-toolkit-ai,developer-tools,provides,name+description
fin-033-ai-tax-preparation-service,ai-ml,provides,name+description
fin-033-ai-tax-preparation-service,finance-fintech,provides,name+description
fin-033-legal-toolkit-ai,ai-ml,provides,name+description
fin-033-legal-toolkit-ai,legal-compliance,provides,name+description
fin-033-legal-toolkit-ai,developer-tools,provides,name+description
fin-034-payroll-automation,automation-orchestration,provides,name+description
fin-035-insurance-underwriting-ai,ai-ml,provides,name+description
fin-037-worldwidebro-trading-system,finance-fintech,provides,name+language
fs-017-ai-personal-trainer,ai-ml,provides,name+description
fs-019-wearable-analytics-platform,data-analytics,provides,name+description
ft-001-api-gateway,api-integration,provides,name+description
ft-001-core-ledger,legal-compliance,provides,name+description
genixbank-insight-compass,data-analytics,provides,name+description
global-operations-automation,automation-orchestration,provides,name+description
global-operations-automation,venture-governance,provides,name+description
hermes-agent-command-center,ai-ml,provides,name+description
hermes-agent-command-center,agent-systems,provides,name+description
hermes-agent-command-center,data-analytics,provides,name+description
ht-004-data-api,api-integration,provides,name+description
ht-004-data-api,healthcare,provides,name+description
ht-004-mobile-app,mobile-app,provides,name+description
innovation-hub-platform,venture-governance,provides,name+description
ins-001-venture-insurance,real-estate,provides,name+description
intellectual-property-management,real-estate,provides,name+description
intellectual-property-management,venture-governance,provides,name+description
investment-fund-management,venture-governance,provides,name+description
iza-os-agents,finance-fintech,provides,name+description
iza-os-agents,marketing-growth,provides,name+description
iza-os-ai-consciousness-platform,ai-ml,provides,name+description
iza-os-ai-consciousness-platform,venture-governance,provides,name+description
iza-os-ai-core-platform,ai-ml,provides,name+description
iza-os-ai-core-platform,venture-governance,provides,name+description
iza-os-ai-nlp-platform,ai-ml,provides,name+description
iza-os-ai-nlp-platform,venture-governance,provides,name+description
iza-os-ai-optimization-platform,ai-ml,provides,name+description
iza-os-ai-optimization-platform,venture-governance,provides,name+description
iza-os-ai-orchestration,ai-ml,provides,name+description
iza-os-ai-orchestration,automation-orchestration,provides,name+description
iza-os-ai-prediction-platform,ai-ml,provides,name+description
iza-os-ai-prediction-platform,data-analytics,provides,name+description
iza-os-ai-prediction-platform,venture-governance,provides,name+description
iza-os-ai-vision-platform,ai-ml,provides,name+description
iza-os-ai-vision-platform,image-vision,provides,name+description
iza-os-ai-vision-platform,venture-governance,provides,name+description
iza-os-analytics,data-analytics,provides,name+description
iza-os-api-gateway-bot,automation-orchestration,provides,name+description
iza-os-api-gateway-bot,api-integration,provides,name+description
iza-os-automation,automation-orchestration,provides,name+description
iza-os-automation-integration,automation-orchestration,provides,name+description
iza-os-automation-integration,api-integration,provides,name+description
iza-os-automation-integration,venture-governance,provides,name+description
iza-os-blockchain-core,blockchain-web3,provides,name+description
iza-os-blockchain-core,venture-governance,provides,name+description
iza-os-cli,developer-tools,provides,name+description
iza-os-computer-vision,image-vision,provides,name+description
iza-os-computer-vision,video-media,provides,name+description
iza-os-core,ai-ml,provides,name+description
iza-os-core,mobile-app,provides,name+description
iza-os-cryptocurrency-management,venture-governance,provides,name+description
iza-os-customer-service-automation-bot,automation-orchestration,provides,name+description
iza-os-customer-service-automation-bot,venture-governance,provides,name+description
iza-os-customer-service-chatbot-bot,venture-governance,provides,name+description
iza-os-customer-service-email-bot,automation-orchestration,provides,name+description
iza-os-customer-service-email-bot,messaging-communication,provides,name+description
iza-os-customer-service-email-bot,venture-governance,provides,name+description
iza-os-customer-service-escalation-bot,automation-orchestration,provides,name+description
iza-os-customer-service-escalation-bot,venture-governance,provides,name+description
iza-os-customer-service-faq-bot,automation-orchestration,provides,name+description
iza-os-customer-service-faq-bot,venture-governance,provides,name+description
iza-os-customer-service-knowledge-bot,knowledge-graph,provides,name+description
iza-os-customer-service-knowledge-bot,venture-governance,provides,name+description
iza-os-customer-service-phone-bot,automation-orchestration,provides,name+description
iza-os-customer-service-phone-bot,venture-governance,provides,name+description
iza-os-customer-service-social-bot,video-media,provides,name+description
iza-os-customer-service-social-bot,automation-orchestration,provides,name+description
iza-os-customer-service-social-bot,venture-governance,provides,name+description
iza-os-customer-service-ticket-bot,venture-governance,provides,name+description
iza-os-data,knowledge-graph,provides,name+description
iza-os-data-integration-hub,api-integration,provides,name+description
iza-os-data-integration-hub,venture-governance,provides,name+description
iza-os-defi-platform,blockchain-web3,provides,name+description
iza-os-defi-platform,venture-governance,provides,name+description
iza-os-deployment-automation-bot,automation-orchestration,provides,name+description
iza-os-deployment-automation-bot,devops-infra,provides,name+description
iza-os-embedding-service,ai-ml,provides,name+description
iza-os-embedding-service,search-retrieval,provides,name+description
iza-os-enterprise-integrations,venture-governance,provides,name+description
iza-os-finance-advisor-alerting-bot,automation-orchestration,provides,name+description
iza-os-finance-advisor-alerting-bot,finance-fintech,provides,name+description
iza-os-finance-advisor-analytics-bot,automation-orchestration,provides,name+description
iza-os-finance-advisor-analytics-bot,data-analytics,provides,name+description
iza-os-finance-advisor-analytics-bot,finance-fintech,provides,name+description
iza-os-finance-advisor-automation-bot,automation-orchestration,provides,name+description
iza-os-finance-advisor-automation-bot,finance-fintech,provides,name+description
iza-os-finance-advisor-compliance-bot,automation-orchestration,provides,name+description
iza-os-finance-advisor-compliance-bot,security-compliance,provides,name+description
iza-os-finance-advisor-compliance-bot,finance-fintech,provides,name+description
iza-os-finance-advisor-discovery-bot,automation-orchestration,provides,name+description
iza-os-finance-advisor-discovery-bot,finance-fintech,provides,name+description
iza-os-finance-advisor-forecasting-bot,finance-fintech,provides,name+description
iza-os-finance-advisor-forecasting-bot,venture-governance,provides,name+description
iza-os-finance-advisor-integration-bot,automation-orchestration,provides,name+description
iza-os-finance-advisor-integration-bot,api-integration,provides,name+description
iza-os-finance-advisor-integration-bot,finance-fintech,provides,name+description
iza-os-finance-advisor-intelligence-bot,automation-orchestration,provides,name+description
iza-os-finance-advisor-intelligence-bot,finance-fintech,provides,name+description
iza-os-finance-advisor-management-bot,automation-orchestration,provides,name+description
iza-os-finance-advisor-management-bot,finance-fintech,provides,name+description
iza-os-finance-advisor-monitoring-bot,automation-orchestration,provides,name+description
iza-os-finance-advisor-monitoring-bot,finance-fintech,provides,name+description
iza-os-finance-advisor-optimization-bot,automation-orchestration,provides,name+description
iza-os-finance-advisor-optimization-bot,finance-fintech,provides,name+description
iza-os-finance-advisor-orchestration-bot,automation-orchestration,provides,name+description
iza-os-finance-advisor-orchestration-bot,finance-fintech,provides,name+description
iza-os-finance-advisor-processing-bot,automation-orchestration,provides,name+description
iza-os-finance-advisor-processing-bot,finance-fintech,provides,name+description
iza-os-finance-advisor-reporting-bot,automation-orchestration,provides,name+description
iza-os-finance-advisor-reporting-bot,data-analytics,provides,name+description
iza-os-finance-advisor-reporting-bot,finance-fintech,provides,name+description
